timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150609_214837 5 1 1 10 100000 103765041 475 10000 9525 0 0 475 0 0 0 0 0 0 0 0 50 100 0 0 3.018 0.796 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed103765041.log 237269 q3-extractinstructions.txt 20150609_214847 0.5 557763337768391ad80a303e
20150609_214858 5 1 1 10 100000 105731136 486 10000 9514 0 0 486 0 0 0 0 0 0 0 0 50 100 0 0 3.025 0.811 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed105731136.log 242821 q3-extractinstructions.txt 20150609_214907 0.5 557763337768391ad80a3042
20150609_214852 5 1 1 10 100000 117661523 496 10000 9504 0 0 496 0 0 0 0 0 0 0 0 50 100 0 0 3.028 0.826 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed117661523.log 245554 q3-extractinstructions.txt 20150609_214902 0.5 557763337768391ad80a3041
20150609_214842 5 1 1 10 100000 141246882 462 10000 9538 0 0 462 0 0 0 0 0 0 0 0 50 100 0 0 2.918 0.749 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed141246882.log 230932 q3-extractinstructions.txt 20150609_214851 0.5 557763337768391ad80a303f
20150609_214913 5 1 1 10 100000 263688301 459 10000 9541 0 0 459 0 0 0 0 0 0 0 0 50 100 0 0 2.941 0.78 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed263688301.log 228468 q3-extractinstructions.txt 20150609_214922 0.5 557763337768391ad80a3045
20150609_214908 5 1 1 10 100000 420477893 491 10000 9509 0 0 491 0 0 0 0 0 0 0 0 50 100 0 0 3.032 0.827 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed420477893.log 245850 q3-extractinstructions.txt 20150609_214917 0.5 557763337768391ad80a3044
20150609_214918 5 1 1 10 100000 50746969 500 10000 9500 0 0 500 0 0 0 0 0 0 0 0 50 100 0 0 2.988 0.671 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed50746969.log 250966 q3-extractinstructions.txt 20150609_214927 0.5 557763337768391ad80a3046
20150609_214923 5 1 1 10 100000 533657980 513 10000 9487 0 0 513 0 0 0 0 0 0 0 0 50 100 0 0 3.086 0.827 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed533657980.log 254943 q3-extractinstructions.txt 20150609_214933 0.5 557763337768391ad80a3047
20150609_214847 5 1 1 10 100000 681028781 474 10000 9526 0 0 474 0 0 0 0 0 0 0 0 50 100 0 0 2.933 0.734 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed681028781.log 238438 q3-extractinstructions.txt 20150609_214857 0.5 557763337768391ad80a3040
20150609_214832 5 1 1 10 100000 919028296 464 10000 9536 0 0 464 0 0 0 0 0 0 0 0 50 100 0 0 2.962 0.749 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed919028296.log 233220 q3-extractinstructions.txt 20150609_214841 0.5 557763337768391ad80a303d
20150609_214903 5 1 1 10 100000 967561224 455 10000 9545 0 0 455 0 0 0 0 0 0 0 0 50 100 0 0 2.959 0.811 ../q3/./log/doc5cop1shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed967561224.log 227284 q3-extractinstructions.txt 20150609_214912 0.5 557763337768391ad80a3043
20150609_214933 5 1 2 10 100000 103765041 11 10000 9072 917 0 11 0 0 0 0 0 0 0 0 50 100 0 0 4.910 1.419 ../q3/./log/doc5cop2shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed103765041.log 401081 q3-extractinstructions.txt 20150609_214945 0.5 557763337768391ad80a3049
20150609_214953 5 1 2 10 100000 105731136 24 10000 9060 916 0 24 0 0 0 0 0 0 0 0 50 100 0 0 4.965 1.575 ../q3/./log/doc5cop2shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed105731136.log 411569 q3-extractinstructions.txt 20150609_215005 0.5 557763337768391ad80a304d
20150609_214948 5 1 2 10 100000 117661523 24 10000 9038 938 0 24 0 0 0 0 0 0 0 0 50 100 0 0 4.973 1.561 ../q3/./log/doc5cop2shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed117661523.log 418143 q3-extractinstructions.txt 20150609_215000 0.5 557763337768391ad80a304c
20150609_214939 5 1 2 10 100000 141246882 22 10000 9088 890 0 22 0 0 0 0 0 0 0 0 50 100 0 0 4.934 1.481 ../q3/./log/doc5cop2shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed141246882.log 395351 q3-extractinstructions.txt 20150609_214950 0.5 557763337768391ad80a304a
20150609_215009 5 1 2 10 100000 263688301 17 10000 9079 904 0 17 0 0 0 0 0 0 0 0 50 100 0 0 4.931 1.669 ../q3/./log/doc5cop2shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed263688301.log 399587 q3-extractinstructions.txt 20150609_215021 0.5 557763337768391ad80a3050
20150609_215004 5 1 2 10 100000 420477893 23 10000 9038 939 0 23 0 0 0 0 0 0 0 0 50 100 0 0 5.063 1.654 ../q3/./log/doc5cop2shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed420477893.log 418229 q3-extractinstructions.txt 20150609_215016 0.5 557763337768391ad80a304f
20150609_215014 5 1 2 10 100000 50746969 17 10000 9040 943 0 17 0 0 0 0 0 0 0 0 50 100 0 0 5.065 1.591 ../q3/./log/doc5cop2shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed50746969.log 417647 q3-extractinstructions.txt 20150609_215026 0.5 557763337768391ad80a3051
20150609_215019 5 1 2 10 100000 533657980 19 10000 9011 970 0 19 0 0 0 0 0 0 0 0 50 100 0 0 5.092 1.498 ../q3/./log/doc5cop2shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed533657980.log 426540 q3-extractinstructions.txt 20150609_215032 0.5 557763337768391ad80a3052
20150609_214943 5 1 2 10 100000 681028781 22 10000 9062 916 0 22 0 0 0 0 0 0 0 0 50 100 0 0 5.002 1.56 ../q3/./log/doc5cop2shlf1lif10_af0s1tTOTAL_gf0i50d100m0_seed681028781.log 405872 q3-extractinstructions.txt 20150609_214955 0.5 557763337768391ad80a304b
